Station,InUit2018,InUit2017,Ontwikkeling
Utrecht Centraal,194385.00,186313.00,0.04
Amsterdam Centraal,192178.00,184614.00,0.04
Schiphol Airport,92214.00,85859.00,0.07
Den Haag Centraal,91437.00,87107.00,0.05
Leiden Centraal,79376.00,77703.00,0.02
Eindhoven,65468.00,62919.00,0.04
Amsterdam Zuid,60819.00,54706.00,0.11
Hertogenbosch 's,47347.00,45937.00,0.03
Nijmegen,45403.00,44705.00,0.02
Arnhem Centraal,43677.00,42987.00,0.02
Delft,38423.00,35454.00,0.08
Breda,35863.00,34414.00,0.04
Tilburg,34503.00,34531.00,0
Amsterdam Amstel,33717.00,31688.00,0.06
Den Haag HS,33612.00,32956.00,0.02
Amsterdam Bijlmer ArenA,28111.00,26427.00,0.06
Almere Centrum,27124.00,25888.00,0.05
Hilversum,26697.00,25922.00,0.03
Dordrecht,24483.00,24351.00,0.01
Rotterdam Blaak,24006.00,22548.00,0.06
Gouda,23696.00,23139.00,0.02
Schiedam Centrum,23164.00,21654.00,0.07
Zaandam,22765.00,21643.00,0.05
Alkmaar,21026.00,20951.00,0
Deventer,20903.00,20785.00,0.01
Hoofddorp,18884.00,17991.00,0.05
Ede-Wageningen,18369.00,17893.00,0.03
Groningen,17768.00,17937.00,-0.01
Amsterdam Lelylaan,15836.00,14915.00,0.06
Lelystad Centrum,14531.00,14153.00,0.03
Hoorn,14306.00,13718.00,0.04
Amsterdam Muiderpoort,14148.00,13887.00,0.02
Woerden,13358.00,12872.00,0.04
Duivendrecht,13126.00,13063.00,0
Zutphen,11988.00,11936.00,0
Maastricht,11854.00,11649.00,0.02
Roermond,11378.00,11482.00,-0.01
Alphen aan den Rijn,10759.00,10286.00,0.05
Leeuwarden,10393.00,9822.00,0.06
Roosendaal,10317.00,10.40,-0.01
Sittard,10286.00,10698.00,-0.04
Enschede,9792.00,17558.00,-0.44
Naarden-Bussum,9465.00,9295.00,0.02
Culemborg,8935.00,8703.00,0.03
Driebergen-Zeist,8787.00,9321.00,-0.06
Utrecht Overvecht,8677.00,8199.00,0.06
Assen,8569.00,8323.00,0.03
Almelo,8092.00,10.86,-0.25
