Station Code,Distance from BRD,Services from/to BRD,Disruptions on path to BRD
DDN,183,0.0,486
DDR,9,60.12903225806452,0
DDRS,12,0.0,117
DDZD,10,0.0,117
DEI,253,0.0,514
DID,133,0.0,468
DL,166,0.0,497
DLD,79,0.0,263
DLN,213,0.0,531
DMN,100,0.0,263
DMNZ,95,0.0,212
DN,119,0.0,506
DR,130,0.0,468
DRH,86,0.0,307
DRON,165,0.0,401
DRP,260,0.0,528
DT,25,59.87096774193548,85
DTC,144,0.0,488
DTCH,142,0.0,488
DTCP,24,59.87096774193548,85
DV,146,0.0,483
DVC,150,0.0,549
DVD,93,0.0,209
DVN,123,0.0,470
DVNK,46,0.0,204
DWE,266,0.0,514
DZ,298,0.0,595
DZW,297,0.0,595
EC,162,0.0,551
ED,108,0.0,243
EDC,110,0.0,265
EDN,204,0.0,555
EEM,305,0.0,594
EGH,198,0.0,570
EGHM,199,0.0,570
EHS,96,0.0,572
EHV,97,0.0,440
EKZ,150,0.0,228
EML,111,0.0,486
EMN,229,0.0,532
EMNZ,225,0.0,531
ES,196,0.0,538
ESK,192,0.0,538
EST,103,0.0,197
ETN,50,0.0,440
FN,266,0.0,514
FWD,263,0.0,514
GBG,202,0.0,517
GD,35,0.0,85
GDG,38,0.0,170
GDM,58,0.0,151
GDR,149,0.0,505
GERP,258,0.0,550
GK,279,0.0,565
GLN,178,0.0,553
GN,260,0.0,550
GND,23,0.0,120
GNN,264,0.0,565
GO,173,0.0,478
GP,103,0.0,502
GR,32,0.0,130
GS,97,0.0,153
GV,33,57.516129032258064,186
GVC,34,57.516129032258064,201
GVM,38,0.0,201
GVMW,32,57.516129032258064,186
GW,236,0.0,554
GZ,49,0.0,440
HAD,74,0.0,211
HB,189,0.0,584
HBZM,20,0.0,120
HD,115,0.0,486
HDB,196,0.0,504
HDE,136,0.0,483
HDG,259,0.0,514
HDR,155,0.0,425
HDRZ,154,0.0,425
HFD,73,0.0,201
HGL,188,0.0,519
HGLG,186,0.0,519
HGLO,190,0.0,538
HGV,202,0.0,497
HGZ,271,0.0,573
HIL,67,0.0,211
HK,94,0.0,326
HKS,142,0.0,212
HLG,275,0.0,515
HLGH,276,0.0,519
HLM,78,0.0,251
HLMS,79,0.0,288
HLO,108,0.0,330
HM,110,0.0,502
HMBH,111,0.0,506
HMBV,107,0.0,502
HMH,109,0.0,502
HMN,89,0.0,197
HN,132,0.0,156
HNK,133,0.0,212
HNO,166,0.0,497
HNP,291,0.0,517
HON,165,0.0,549
HOR,79,0.0,243
HR,220,0.0,497
HRL,193,0.0,553
HRLW,195,0.0,570
HRN,254,0.0,550
HRT,137,0.0,534
HT,80,0.0,194
HTN,75,0.0,243
HTNC,75,0.0,247
HTO,81,0.0,267
HVL,94,0.0,483
HVS,85,0.0,243
HVSM,86,0.0,244
HVSP,84,0.0,243
HWD,120,0.0,406
HWZB,86,0.0,288
HZE,108,0.0,508
IJT,274,0.0,515
KBD,79,0.0,153
KBK,140,0.0,519
KLP,101,0.0,243
KMA,102,0.0,327
KMR,201,0.0,570
KMW,296,0.0,522
KPN,169,0.0,497
KPNZ,169,0.0,497
KRD,201,0.0,581
KRG,86,0.0,153
KTR,82,0.0,194
KW,268,0.0,571
KZ,101,0.0,159
LAA,35,0.0,201
LC,160,0.0,471
LDL,50,0.0,211
LDM,44,0.0,150
LEDN,49,0.0,201
LG,196,0.0,570
LLS,140,0.0,387
LLZM,48,0.0,170
LP,286,0.0,577
LTN,114,0.0,500
LTV,178,0.0,473
LUT,178,0.0,553
LW,249,0.0,497
LWC,252,0.0,514
MAS,74,0.0,243
MDB,116,0.0,153
MES,201,0.0,555
MG,259,0.0,514
MMLH,121,0.0,232
MP,182,0.0,497
MRB,188,0.0,504
MRN,87,0.0,275
MT,195,0.0,553
MTH,269,0.0,573
MTN,198,0.0,555
MTR,196,0.0,555
MZ,118,0.0,513
NDB,91,0.0,244
NH,186,0.0,584
NKK,99,0.0,483
NM,111,0.0,211
NMD,116,0.0,232
NMGO,114,0.0,232
NMH,114,0.0,232
NML,110,0.0,211
NS,127,0.0,483
NSCH,304,0.0,580
NVD,186,0.0,497
NVP,68,0.0,211
NWK,26,0.0,143
O,99,0.0,267
OBD,126,0.0,416
ODB,40,0.0,122
ODZ,199,0.0,538
OMN,177,0.0,504
OP,86,0.0,197
OST,156,0.0,549
OT,68,0.0,453
OTB,118,0.0,468
OVN,80,0.0,288
OW,98,0.0,270
PMO,114,0.0,157
PMR,113,0.0,156
PMW,112,0.0,159
PT,106,0.0,486
RAI,90,0.0,209
RAT,172,0.0,497
RB,76,0.0,153
RD,298,0.0,581
RH,124,0.0,471
RHN,110,0.0,278
RL,165,0.0,473
RLB,4,61.25806451612903,0
RM,149,0.0,502
RS,87,0.0,270
RSD,47,0.0,117
RSN,172,0.0,549
RSW,30,57.516129032258064,186
RTA,21,0.0,85
RTB,10,61.064516129032256,6
RTD,11,61.064516129032256,15
RTN,16,0.0,85
RTST,6,0.5161290322580645,6
RTZ,7,61.064516129032256,6
RV,160,0.0,551
RVS,107,0.0,288
SBK,181,0.0,583
SD,87,0.0,267
SDA,287,0.0,571
SDM,15,59.87096774193548,85
SDT,19,0.0,119
SDTB,16,0.0,119
SGL,205,0.0,569
SGN,134,0.0,416
SHL,78,0.0,85
SK,271,0.0,514
SKND,270,0.0,514
SM,154,0.0,551
SN,183,0.0,584
SOG,203,0.0,570
SPTN,85,0.0,306
SPTZ,83,0.0,306
SRN,167,0.0,580
SSH,57,0.0,211
ST,86,0.0,267
STD,174,0.0,551
STM,282,0.0,577
STV,300,0.0,522
STZ,85,0.0,267
SWD,271,0.0,565
SWK,196,0.0,547
TB,60,0.0,440
TBG,150,0.0,505
TBR,55,0.0,459
TBU,59,0.0,461
TG,154,0.0,587
TL,70,0.0,194
TPSW,68,0.0,194
TWL,141,0.0,518
UHM,295,0.0,581
UHZ,292,0.0,581
UST,287,0.0,580
UT,67,0.0,170
UTG,97,0.0,326
UTLN,71,0.0,243
UTLR,64,0.0,193
UTO,70,0.0,243
UTT,62,0.0,188
UTVR,68,0.0,243
UTZL,69,0.0,243
VB,37,0.0,230
VD,155,0.0,471
VDL,197,0.0,570
VDM,287,0.0,578
VEM,145,0.0,520
VG,84,0.0,267
VH,57,0.0,211
VHP,194,0.0,507
VK,206,0.0,570
VL,149,0.0,586
VLB,143,0.0,274
VNDC,102,0.0,277
VNDW,101,0.0,277
VP,120,0.0,471
VRY,150,0.0,275
VS,122,0.0,155
VSS,121,0.0,155
VST,44,0.0,204
VSV,157,0.0,505
VTN,60,0.0,179
VZ,191,0.0,619
WAD,43,0.0,170
WADN,44,0.0,170
WADT,42,0.0,170
WC,114,0.0,291
WD,51,0.0,178
WDN,180,0.0,556
WF,117,0.0,265
WFM,284,0.0,580
WH,163,0.0,559
WK,287,0.0,517
WL,139,0.0,488
WM,104,0.0,352
WP,100,0.0,255
WR,314,0.0,589
WS,292,0.0,580
WSM,276,0.0,566
WT,125,0.0,502
WTV,119,0.0,470
WV,209,0.0,497
WW,178,0.0,524
WWW,179,0.0,524
WZ,145,0.0,496
YPB,41,0.0,233
ZA,92,0.0,197
ZB,279,0.0,574
ZBM,67,0.0,194
ZD,99,0.0,156
ZDK,102,0.0,159
ZH,272,0.0,565
ZL,154,0.0,483
ZLSH,159,0.0,497
ZLW,24,0.0,117
ZP,143,0.0,471
ZTM,46,0.0,230
ZTMO,47,0.0,233
ZV,128,0.0,468
ZVB,32,0.0,122
ZVT,86,0.0,289
ZWD,7,60.12903225806452,0
ZZS,102,0.0,159
