Station Code,Distance from HDE,Services from/to HDE,Disruptions on path to HDE
PT,30,35.83870967741935,17
RAI,91,0.0,244
RAT,36,0.0,14
RB,211,0.0,510
RD,162,0.0,98
RH,84,0.0,93
RHN,112,0.0,348
RL,87,0.0,92
RLB,132,0.0,468
RM,198,0.0,500
RS,124,0.0,386
RSD,182,0.0,505
RSN,66,0.0,35
RSW,133,0.0,413
RTA,115,0.064516129032258,398
RTB,126,0.0,468
RTD,125,0.064516129032258,398
RTN,120,0.0,400
RTST,130,0.0,468
RTZ,129,0.0,468
RV,187,0.0,486
RVS,129,0.0,350
SBK,230,0.0,581
SD,61,0.0,254
SDA,151,0.0,88
SDM,129,0.0,468
SDT,134,0.0,387
SDTB,137,0.0,388
SGL,254,0.0,567
SGN,153,0.0,625
SHL,103,0.0,315
SK,135,0.0,31
SKND,134,0.0,31
SM,193,0.0,500
SN,232,0.0,582
SOG,252,0.0,568
SPTN,119,0.0,549
SPTZ,117,0.0,549
SRN,216,0.0,578
SSH,124,0.0,443
ST,62,0.0,254
STD,223,0.0,549
STM,146,0.0,94
STV,164,0.0,39
STZ,63,0.0,244
SWD,135,0.0,82
SWK,60,0.032258064516129,64
TB,139,0.0,386
TBG,128,0.0,139
TBR,144,0.0,399
TBU,140,0.0,399
TG,180,0.0,467
TL,107,0.0,356
TPSW,105,0.0,356
TWL,54,0.0,90
UHM,159,0.0,98
UHZ,156,0.0,98
UST,151,0.0,97
UT,69,35.54838709677419,240
UTG,116,0.0,571
UTLN,73,0.0,313
UTLR,72,0.0,313
UTO,66,35.483870967741936,240
UTT,74,0.0,313
UTVR,70,0.0,313
UTZL,71,0.0,313
VB,126,0.0,398
VD,77,0.0,90
VDL,246,0.0,568
VDM,151,0.0,95
VEM,69,0.0,90
VG,121,0.0,386
VH,127,0.0,348
VHP,58,0.0,24
VK,255,0.0,568
VL,175,0.0,466
VLB,145,0.0,413
VNDC,104,0.0,347
VNDW,103,0.0,347
VP,88,0.0,96
VRY,152,0.0,414
VS,257,0.0,537
VSS,256,0.0,510
VST,124,0.0,433
VSV,131,0.0,123
VTN,76,0.0,318
VZ,65,0.0,25
WAD,109,0.0,398
WADN,110,0.0,398
WADT,108,0.0,398
WC,122,0.0,350
WD,85,0.0,240
WDN,58,0.0,35
WF,91,0.0,280
WFM,148,0.0,97
WH,32,0.0,14
WK,151,0.0,34
WL,117,0.0,122
WM,109,0.0,536
WP,79,0.0,252
WR,178,0.0,106
WS,156,0.0,97
WSM,140,0.0,83
WT,177,0.0,451
WTV,97,0.0,99
WV,73,0.0,14
WW,110,0.0,104
WWW,109,0.0,104
WZ,9,36.67741935483871,0
YPB,122,0.0,316
ZA,116,0.0,364
ZB,143,0.0,91
ZBM,104,0.0,356
ZD,103,0.0,533
ZDK,106,0.0,536
ZH,136,0.0,82
ZL,18,36.70967741935484,0
ZLSH,23,0.0,14
ZLW,159,0.0,505
ZP,65,0.0,90
ZTM,117,0.0,313
ZTMO,116,0.0,398
ZV,106,0.0,102
ZVB,167,0.0,510
ZVT,120,0.0,549
ZWD,143,0.0,573
ZZS,106,0.0,536
