Station Code,Distance from DTCP,Services from/to DTCP,Disruptions on path to DTCP
HDE,138,0.0,468
HDG,261,0.0,485
HDR,131,0.0,261
HDRZ,130,0.0,261
HFD,49,0.0,116
HGL,196,0.0,551
HGLG,194,0.0,551
HGLO,198,0.0,570
HGV,204,0.0,482
HGZ,273,0.0,558
HIL,43,0.0,126
HK,70,0.0,146
HKS,118,0.0,203
HLG,277,0.0,486
HLGH,278,0.0,490
HLM,54,0.0,126
HLMS,55,0.0,126
HLO,84,0.0,146
HM,134,0.0,455
HMBH,135,0.0,459
HMBV,131,0.0,455
HMH,133,0.0,455
HMN,113,0.0,265
HN,108,0.0,147
HNK,109,0.0,203
HNO,168,0.0,482
HNP,293,0.0,488
HON,167,0.0,503
HOR,81,0.0,228
HR,222,0.0,539
HRL,155,0.0,101
HRLW,157,0.0,118
HRN,256,0.0,535
HRT,161,0.0,487
HT,104,0.0,262
HTN,77,0.0,228
HTNC,78,0.0,256
HTO,105,0.0,335
HVL,96,0.0,468
HVS,87,0.0,228
HVSM,88,0.0,229
HVSP,86,0.0,228
HWD,96,0.0,242
HWZB,62,0.0,126
HZE,132,0.0,461
IJT,276,0.0,486
KBD,103,0.0,75
KBK,142,0.0,504
KLP,103,0.0,228
KMA,78,0.0,147
KMR,163,0.0,118
KMW,298,0.0,493
KPN,171,0.0,482
KPNZ,160,0.0,415
KRD,163,0.0,129
KRG,110,0.0,75
KTR,106,0.0,262
KW,270,0.0,556
KZ,77,0.0,150
LAA,11,0.0,116
LC,168,0.0,503
LDL,26,0.0,126
LDM,68,0.0,218
LEDN,25,0.0,116
LG,158,0.0,118
LLS,118,0.0,400
LLZM,25,0.0,145
LP,288,0.0,562
LTN,116,0.0,485
LTV,186,0.0,505
LUT,178,0.0,120
LW,251,0.0,468
LWC,254,0.0,485
MAS,76,0.0,228
MDB,140,0.0,102
MES,175,0.0,118
MG,261,0.0,485
MMLH,145,0.0,300
MP,184,0.0,482
MRB,190,0.0,489
MRN,89,0.0,260
MT,181,0.0,118
MTH,271,0.0,558
MTN,178,0.0,132
MTR,182,0.0,120
MZ,142,0.0,466
NDB,87,0.0,213
NH,162,0.0,118
NKK,101,0.0,468
NM,135,0.0,279
NMD,140,0.0,300
NMGO,138,0.0,300
NMH,138,0.0,300
NML,134,0.0,279
NS,129,0.0,468
NSCH,306,0.0,565
NVD,188,0.0,491
NVP,44,0.0,126
NWK,28,0.0,128
O,123,0.0,335
OBD,102,0.0,252
ODB,64,0.0,192
ODZ,207,0.0,570
OMN,179,0.0,489
OP,110,0.0,265
OST,158,0.0,534
OT,92,0.0,406
OTB,123,0.0,250
OVN,56,0.0,126
OW,122,0.0,335
PMO,90,0.0,147
PMR,89,0.0,147
PMW,88,0.0,150
PT,108,0.0,468
RAI,66,0.0,269
RAT,174,0.0,482
RB,100,0.0,192
RD,300,0.0,566
RH,137,0.0,486
RHN,112,0.0,263
RL,173,0.0,505
RLB,20,59.74193548387097,70
RM,173,0.0,455
RS,111,0.0,335
RSD,71,0.0,70
RSN,174,0.0,503
RSW,6,57.516129032258064,101
RTA,23,0.0,70
RTB,14,59.74193548387097,70
RTD,13,61.064516129032256,0
RTN,18,0.0,70
RTST,18,0.4193548387096774,70
RTZ,17,59.74193548387097,70
RV,184,0.0,504
RVS,131,0.0,356
SBK,167,0.0,118
SD,89,0.0,252
SDA,289,0.0,556
SDM,9,61.03225806451613,0
SDT,43,0.0,187
SDTB,40,0.0,187
SGL,171,0.0,118
SGN,110,0.0,252
SHL,54,0.0,145
SK,273,0.0,485
SKND,272,0.0,485
SM,178,0.0,504
SN,165,0.0,118
SOG,165,0.0,118
SPTN,61,0.0,126
SPTZ,59,0.0,126
SRN,181,0.0,120
SSH,33,0.0,126
ST,88,0.0,252
STD,174,0.0,118
STM,284,0.0,562
STV,302,0.0,493
STZ,87,0.0,252
SWD,273,0.0,550
SWK,198,0.0,532
TB,84,0.032258064516129,393
TBG,163,0.0,522
TBR,79,0.0,412
TBU,83,0.0,414
TG,178,0.0,456
TL,94,0.0,262
TPSW,92,0.0,262
TWL,143,0.0,503
UHM,297,0.0,566
UHZ,294,0.0,566
UST,289,0.0,565
UT,69,0.0,155
UTG,73,0.0,146
UTLN,73,0.0,228
UTLR,66,0.0,170
UTO,72,0.0,228
UTT,64,0.0,165
UTVR,70,0.0,228
UTZL,71,0.0,228
VB,13,0.0,145
VD,163,0.0,503
VDL,159,0.0,118
VDM,289,0.0,563
VEM,147,0.0,505
VG,108,0.0,335
VH,33,0.0,126
VHP,196,0.0,492
VK,168,0.0,118
VL,173,0.0,455
VLB,167,0.0,342
VNDC,104,0.0,262
VNDW,103,0.0,262
VP,133,0.0,486
VRY,174,0.0,343
VS,146,0.0,102
VSS,145,0.0,75
VST,20,0.0,119
VSV,170,0.0,522
VTN,62,0.0,156
VZ,193,0.0,604
WAD,45,0.0,155
WADN,46,0.0,155
WADT,44,0.0,155
WC,138,0.0,359
WD,53,0.0,155
WDN,182,0.0,510
WF,119,0.0,250
WFM,286,0.0,565
WH,165,0.0,544
WK,289,0.0,488
WL,152,0.0,505
WM,80,0.0,172
WP,78,0.0,207
WR,316,0.0,574
WS,294,0.0,565
WSM,278,0.0,551
WT,149,0.0,455
WTV,132,0.0,487
WV,211,0.0,482
WW,191,0.0,541
WWW,192,0.0,541
WZ,147,0.0,481
YPB,17,0.0,148
ZA,116,0.0,265
ZB,281,0.0,559
ZBM,91,0.0,262
ZD,75,0.0,147
ZDK,78,0.0,150
ZH,274,0.0,550
ZL,156,0.0,468
ZLSH,161,0.0,482
ZLW,48,0.0,187
ZP,151,0.0,503
ZTM,22,0.0,145
ZTMO,23,0.0,145
ZV,141,0.0,485
ZVB,56,0.0,192
ZVT,62,0.0,126
ZWD,31,59.74193548387097,175
ZZS,78,0.0,150
