Station Code,Distance from KLP,Services from/to KLP,Disruptions on path to KLP
AC,58,0.0,109
AH,24,37.87096774193548,22
AHP,25,0.0,279
AHPR,27,0.0,281
AHZ,32,0.1290322580645161,279
AKL,79,0.0,201
AKM,177,0.0,422
ALM,83,0.0,86
ALMB,89,0.0,217
ALMM,82,0.0,85
ALMO,91,0.0,217
ALMP,85,0.0,217
AMF,41,0.0,40
AMFS,44,0.0,280
AML,108,0.0,348
AMPO,80,0.0,85
AMR,112,16.129032258064516,358
AMRI,110,0.0,418
AMRN,113,13.903225806451612,433
ANA,142,13.903225806451612,444
APD,71,0.0,282
APDM,70,0.0,283
APDO,74,0.0,317
APG,240,0.0,452
APN,69,0.0,83
ARN,210,0.0,387
ASA,67,16.677419354838708,73
ASB,63,19.35483870967742,73
ASD,73,16.677419354838708,73
ASDL,80,0.0,352
ASDM,69,0.0,110
ASDZ,69,19.096774193548388,76
ASHD,64,0.0,87
ASN,178,0.0,372
ASS,77,16.129032258064516,331
ASSP,70,0.0,124
ATN,76,0.0,316
AVAT,47,0.0,286
BD,123,0.0,286
BDE,168,0.0,481
BDG,61,0.0,74
BDM,221,0.0,441
BDPB,128,0.0,609
BET,102,0.0,316
BF,225,0.0,441
BGN,158,0.0,356
BHDV,90,0.0,221
BHV,43,0.0,73
BK,161,0.0,481
BKF,131,0.0,416
BKG,130,0.0,412
BKL,46,0.0,76
BL,162,0.0,377
BLL,95,0.0,368
BMN,46,0.0,282
BMR,68,0.0,314
BN,103,0.0,349
BNC,22,0.0,23
BNK,26,0.0,32
BNN,25,0.0,39
BNZ,20,0.0,23
BP,219,0.0,389
BR,103,0.0,343
BRD,101,0.0,243
BRN,50,0.0,280
BSD,65,0.0,200
BSK,75,0.0,164
BSKS,76,0.0,187
BSMZ,57,0.0,74
BTL,92,0.0,273
BV,102,0.064516129032258,391
BZL,190,0.0,387
CAS,100,16.129032258064516,355
CK,58,0.0,311
CL,50,0.0,104
CO,148,0.0,435
CPS,79,0.0,158
CVM,178,0.0,498
DA,119,0.0,418
DB,22,18.806451612903224,0
DDN,93,0.0,297
DDR,107,0.0,234
DDRS,104,0.0,232
DDZD,108,0.0,351
DEI,199,0.0,389
DID,43,0.0,279
DL,112,0.0,372
DLD,46,0.0,93
DLN,152,0.0,449
DMN,72,0.0,124
DMNZ,67,0.0,76
DN,131,0.0,395
DR,40,0.0,279
DRH,100,0.0,387
DRON,132,0.0,231
DRP,206,0.0,403
DT,103,0.3548387096774194,173
DTC,54,0.0,299
