Station Code,Distance from TBR,Services from/to TBR,Disruptions on path to TBR
AC,99,0.0,119
AH,89,8.35483870967742,110
AHP,90,0.0,367
AHPR,92,0.0,367
AHZ,81,7.354838709677419,142
AKL,70,0.0,130
AKM,239,0.0,463
ALM,124,0.0,172
ALMB,130,0.0,303
ALMM,123,0.0,171
ALMO,132,0.0,303
ALMP,126,0.0,303
AMF,96,0.0,159
AMFS,99,0.0,399
AML,173,0.0,436
AMPO,121,0.0,171
AMR,153,0.0,444
AMRI,175,0.0,506
AMRN,154,0.0,519
ANA,183,0.0,530
APD,136,0.0,370
APDM,135,0.0,371
APDO,139,0.0,405
APG,302,0.0,493
APN,108,0.0,520
ARN,105,0.0,347
ASA,108,0.0,159
ASB,104,0.0,159
ASD,114,0.0,159
ASDL,121,0.0,417
ASDM,110,0.0,196
ASDZ,110,0.0,173
ASHD,103,0.0,246
ASN,240,0.0,413
ASS,118,0.0,417
ASSP,111,0.0,210
ATN,141,0.0,404
AVAT,102,0.0,405
BD,16,30.193548387096776,19
BDE,134,0.0,107
BDG,102,0.0,160
BDM,283,0.0,482
BDPB,21,29.193548387096776,342
BET,32,0.0,56
BF,287,0.0,482
BGN,53,0.0,347
BHDV,63,0.0,470
BHV,84,0.0,159
BK,127,0.0,108
BKF,172,0.0,502
BKG,171,0.0,498
BKL,87,0.0,86
BL,224,0.0,413
BLL,136,0.0,585
BMN,111,0.0,370
BMR,95,0.0,142
BN,168,0.0,437
BNC,115,0.0,400
BNK,81,0.0,210
BNN,112,0.0,399
BNZ,117,0.0,416
BP,281,0.0,416
BR,92,0.0,88
BRD,55,0.0,459
BRN,99,0.0,183
BSD,56,0.0,129
BSK,102,0.0,497
BSKS,101,0.0,497
BSMZ,98,0.0,160
BTL,22,0.0,13
BV,143,0.0,438
BZL,85,0.0,378
CAS,141,0.0,441
CK,85,0.0,139
CL,57,0.0,129
CO,213,0.0,523
CPS,77,0.0,414
CVM,144,0.0,125
DA,184,0.0,506
DB,85,0.0,254
DDN,158,0.0,385
DDR,46,29.193548387096776,342
DDRS,49,0.0,459
DDZD,45,29.193548387096776,365
DEI,261,0.0,416
DID,108,0.0,367
DL,174,0.0,413
DLD,87,0.0,179
DLN,217,0.0,537
DMN,113,0.0,210
DMNZ,108,0.0,162
DN,64,0.0,60
DR,105,1.0,367
DRH,141,0.0,586
DRON,173,0.0,317
DRP,268,0.0,430
DT,80,0.0,459
DTC,119,0.0,387
DTCH,117,0.0,387
DTCP,79,0.0,412
DV,134,0.935483870967742,370
DVC,138,0.0,436
DVD,106,0.0,159
DVN,98,0.0,369
DVNK,101,0.0,578
DWE,274,0.0,416
DZ,306,0.0,511
DZW,305,0.0,511
EC,107,0.0,105
ED,106,0.0,367
EDC,108,0.0,389
EDN,149,0.0,109
EEM,313,0.0,510
EGH,143,0.0,124
EGHM,144,0.0,124
EHS,41,0.0,132
EHV,42,0.0,13
EKZ,175,0.0,510
EML,119,0.0,399
EMN,233,0.0,538
EMNZ,229,0.0,537
ES,171,0.0,437
ESK,167,0.0,437
EST,78,7.354838709677419,128
ETN,27,0.2258064516129032,342
FN,274,0.0,416
FWD,271,0.0,416
GBG,206,0.0,523
GD,90,0.0,412
GDG,93,0.0,497
GDM,49,0.0,86
GDR,124,0.0,404
GERP,266,0.0,466
GK,287,0.0,481
GLN,123,0.0,107
GN,268,0.0,466
GND,60,0.0,460
GNN,272,0.0,481
GO,148,0.0,377
