Station Code,Distance from FWD,Services from/to FWD,Disruptions on path to FWD
GN,40,58.80645161290322,0
GND,257,0.0,394
GNN,44,0.0,15
GO,183,0.0,174
GP,282,0.0,468
GR,248,0.0,392
GS,359,0.0,527
GV,257,0.0,415
GVC,256,0.0,333
GVM,257,0.0,450
GVMW,258,0.0,430
GW,27,0.0,17
GZ,277,0.0,418
HAD,243,0.0,310
HB,329,0.0,599
HBZM,260,0.0,404
HD,148,0.0,31
HDB,151,0.0,38
HDE,127,0.0,31
HDG,4,31.516129032258064,0
HDR,301,0.0,411
HDRZ,300,0.0,411
HFD,235,0.0,106
HGL,168,0.0,122
HGLG,170,0.0,141
HGLO,170,0.0,141
HGV,98,0.0,15
HGZ,55,0.0,38
HIL,250,0.0,310
HK,246,0.0,349
HKS,273,0.0,366
HLG,40,0.0,18
HLGH,41,0.0,22
HLM,239,0.0,289
HLMS,238,0.0,310
HLO,254,0.0,316
HM,289,0.0,468
HMBH,290,0.0,472
HMBV,286,0.0,468
HMH,288,0.0,468
HMN,210,0.0,381
HN,263,0.0,310
HNK,264,0.0,366
HNO,121,0.0,31
HNP,56,0.0,20
HON,159,0.0,107
HOR,197,0.0,32
HR,43,0.0,17
HRL,333,0.0,568
HRLW,335,0.0,585
HRN,46,0.0,15
HRT,274,0.0,483
HT,244,0.0,330
HTN,204,0.0,330
HTNC,205,0.0,358
HTO,245,0.0,403
HVL,181,0.0,257
HVS,191,0.0,31
HVSM,192,0.0,32
HVSP,192,0.0,32
HWD,266,0.0,392
HWZB,231,0.0,310
HZE,287,0.0,474
IJT,39,0.0,18
KBD,341,0.0,527
KBK,164,0.0,67
KLP,209,0.0,389
KMA,238,0.0,323
KMR,341,0.0,585
KMW,61,0.0,25
KPN,124,0.0,31
KPNZ,124,0.0,31
KRD,341,0.0,596
KRG,348,0.0,527
KTR,217,0.0,381
KW,52,0.0,36
KZ,232,0.0,313
LAA,257,0.0,362
LC,173,0.0,107
LDL,245,0.0,348
LDM,236,0.0,374
LEDN,246,0.0,355
LG,336,0.0,585
LLS,166,0.0,17
LLZM,241,0.0,415
LP,66,0.0,27
LTN,201,0.0,274
LTV,191,0.0,109
LUT,318,0.0,568
LW,14,58.80645161290322,0
LWC,11,31.451612903225808,10
MAS,203,0.0,330
MDB,378,0.0,554
MES,341,0.0,570
MG,24,0.0,17
MMLH,214,0.0,388
MP,81,0.0,24
MRB,143,0.0,38
MRN,216,0.0,362
MT,335,0.0,568
MTH,53,0.0,38
MTN,338,0.0,570
MTR,336,0.0,570
MZ,297,0.0,479
NDB,197,0.0,32
NH,326,0.0,599
NKK,164,0.0,34
NM,204,0.0,367
NMD,209,0.0,388
NMGO,207,0.0,388
NMH,207,0.0,388
NML,203,0.0,381
NS,136,0.0,31
NSCH,88,0.0,45
NVD,141,0.0,40
NVP,240,0.0,234
NWK,237,0.0,415
O,228,0.0,388
OBD,272,0.0,310
ODB,302,0.0,527
ODZ,179,0.0,141
OMN,132,0.0,38
OP,213,0.0,381
OST,130,0.0,31
OT,265,0.0,446
OTB,189,0.0,367
OVN,241,0.0,326
OW,229,0.0,409
PMO,245,0.0,289
PMR,244,0.0,310
PMW,243,0.0,313
PT,157,0.0,31
RAI,218,0.0,35
RAT,127,0.0,31
RB,338,0.0,527
RD,78,0.0,31
RH,175,0.0,110
RHN,239,0.0,365
RL,178,0.0,109
RLB,259,0.0,485
RM,289,0.0,517
RS,240,0.0,409
RSD,309,0.0,522
RSN,157,0.0,52
RSW,260,0.0,430
RTA,242,0.0,415
RTB,253,0.0,485
RTD,252,0.0,415
RTN,247,0.0,417
RTST,257,0.0,485
RTZ,256,0.0,485
RV,278,0.0,503
RVS,220,0.0,367
SBK,321,0.0,598
SD,188,0.0,271
SDA,71,0.0,36
SDM,256,0.0,485
SDT,261,0.0,404
SDTB,264,0.0,405
SGL,345,0.0,584
SGN,280,0.0,402
SHL,230,0.0,106
SK,36,0.0,17
SKND,35,0.0,17
SM,284,0.0,517
SN,323,0.0,599
SOG,343,0.0,585
SPTN,246,0.0,326
SPTZ,244,0.0,326
SRN,307,0.0,595
SSH,251,0.0,234
ST,189,0.0,271
STD,314,0.0,566
STM,62,0.0,27
STV,65,0.0,25
STZ,190,0.0,261
SWD,51,0.0,15
SWK,67,0.0,17
TB,266,0.0,403
TBG,219,0.0,156
TBR,271,0.0,416
TBU,267,0.0,416
TG,271,0.0,484
TL,229,0.0,384
TPSW,231,0.0,384
TWL,145,0.0,107
UHM,75,0.0,31
UHZ,72,0.0,31
UST,67,0.0,30
UT,196,0.0,257
UTG,243,0.0,348
UTLN,200,0.0,330
UTLR,199,0.0,330
UTO,193,0.0,257
UTT,201,0.0,330
UTVR,197,0.0,330
UTZL,198,0.0,330
VB,253,0.0,415
VD,168,0.0,107
VDL,337,0.0,585
VDM,71,0.0,43
VEM,160,0.0,107
VG,248,0.0,403
VH,254,0.0,365
VHP,149,0.0,41
VK,346,0.0,585
VL,266,0.0,483
VLB,236,0.0,430
VNDC,231,0.0,364
VNDW,230,0.0,364
VP,179,0.0,113
VRY,243,0.0,431
VS,384,0.0,554
VSS,383,0.0,527
VST,251,0.0,450
VSV,222,0.0,140
VTN,203,0.0,335
VZ,156,0.0,42
WAD,236,0.0,415
WADN,237,0.0,415
WADT,235,0.0,415
WC,213,0.0,367
WD,212,0.0,257
WDN,149,0.0,52
WF,193,0.0,367
WFM,64,0.0,30
WH,123,0.0,31
WK,52,0.0,20
WL,208,0.0,139
WM,236,0.0,313
WP,206,0.0,43
WR,98,0.0,54
WS,76,0.0,45
WSM,56,0.0,16
WT,304,0.0,468
WTV,188,0.0,116
WV,54,0.0,17
WW,201,0.0,121
WWW,200,0.0,121
WZ,118,0.0,31
YPB,249,0.0,333
ZA,207,0.0,381
ZB,63,0.0,39
ZBM,231,0.0,373
ZD,230,0.0,310
ZDK,233,0.0,313
ZH,28,41.38709677419355,0
ZL,109,0.0,17
ZLSH,114,0.0,31
ZLW,286,0.0,522
ZP,156,0.0,107
ZTM,244,0.0,330
ZTMO,243,0.0,415
ZV,197,0.0,119
ZVB,294,0.0,527
ZVT,247,0.0,326
ZWD,270,0.0,590
ZZS,233,0.0,313
