Station Code,Distance from EHS,Services from/to EHS,Disruptions on path to EHS
AC,103,0.0,182
AH,93,0.0,173
AHP,94,0.0,430
AHPR,96,0.0,430
AHZ,85,0.0,205
AKL,74,0.0,193
AKM,243,0.0,453
ALM,128,0.0,162
ALMB,134,0.0,293
ALMM,127,0.0,161
ALMO,136,0.0,293
ALMP,130,0.0,293
AMF,100,0.0,149
AMFS,103,0.0,389
AML,177,0.0,499
AMPO,125,0.0,161
AMR,157,0.0,434
AMRI,179,0.0,569
AMRN,158,0.0,509
ANA,187,0.0,520
APD,140,0.0,433
APDM,139,0.0,434
APDO,143,0.0,468
APG,306,0.0,483
APN,114,0.0,159
ARN,146,0.0,460
ASA,112,0.0,149
ASB,108,0.0,149
ASD,118,0.0,149
ASDL,125,0.0,407
ASDM,114,0.0,186
ASDZ,114,0.0,163
ASHD,107,0.0,309
ASN,244,0.0,403
ASS,122,0.0,407
ASSP,115,0.0,200
ATN,145,0.0,467
AVAT,106,0.0,395
BD,57,0.032258064516129,132
BDE,93,0.0,113
BDG,106,0.0,150
BDM,287,0.0,472
BDPB,62,0.0,455
BET,9,61.25806451612903,0
BF,291,0.0,472
BGN,94,0.0,460
BHDV,85,0.0,213
BHV,88,0.0,149
BK,86,0.0,114
BKF,176,0.0,492
BKG,175,0.0,488
BKL,91,0.0,149
BL,228,0.0,403
BLL,140,0.0,444
BMN,115,0.0,433
BMR,86,0.0,147
BN,172,0.0,500
BNC,119,0.0,390
BNK,85,0.0,273
BNN,116,0.0,389
BNZ,121,0.0,406
BP,285,0.0,406
BR,51,0.0,94
BRD,96,0.0,572
BRN,103,0.0,173
BSD,60,0.0,192
BSK,120,0.0,240
BSKS,121,0.0,263
BSMZ,102,0.0,150
BTL,19,61.25806451612903,76
BV,147,0.0,428
BZL,126,0.0,491
CAS,145,0.0,431
CK,89,0.0,202
CL,61,0.0,192
CO,217,0.0,586
CPS,118,0.0,527
CVM,103,0.0,131
DA,188,0.0,569
DB,89,0.0,317
DDN,162,0.0,448
DDR,87,0.0,455
DDRS,90,0.0,572
DDZD,86,0.0,478
DEI,265,0.0,406
DID,112,0.0,430
DL,178,0.0,403
DLD,91,0.0,169
DLN,221,0.0,600
DMN,117,0.0,200
DMNZ,112,0.0,152
DN,23,28.70967741935484,66
DR,109,0.0,430
DRH,145,0.0,445
DRON,177,0.0,307
DRP,272,0.0,420
DT,121,0.032258064516129,572
DTC,123,0.0,450
DTCH,121,0.0,450
DTCP,120,0.0,525
DV,138,0.0,433
DVC,142,0.0,499
DVD,110,0.0,149
DVN,102,0.0,432
DVNK,132,0.0,257
DWE,278,0.0,406
DZ,310,0.0,501
DZW,309,0.0,501
EC,66,0.0,111
ED,110,0.0,430
EDC,112,0.0,452
EDN,108,0.0,115
EEM,317,0.0,500
EGH,102,0.0,130
EGHM,103,0.0,130
EHS,0,0.0,0
EHV,1,59.903225806451616,0
